Student ID & Name,Student Athletic Team 1,Applied To Year Semester,Student Domestic/International Status,Student World Region of Citizenship,Student Gender,Student Degree Level,Enrollment College,Primary College Degree Program,Primary Enrollment HEGIS,Class Year Category,Applicant Group,Average Undergraduate Applicant High School GPA,Average ACT Highest Composite Score (Applicants Wanting Test Scores Considered),Average SAT Highest Composite Score (Applicants Wanting Test Scores Considered),Semester 1 GPI,Semester 1 Cum GPA,Semester 2 GPI,Semester 2 Cum GPA,Semester 3 GPI,Semester 3 Cum GPA,Semester 4 GPI,Semester 4 Cum GPA,Semester 5 GPI,Semester 5 Cum GPA,Semester 6 GPI,Semester 6 Cum GPA,Semester 7 GPI,Semester 7 Cum GPA,Semester 8 GPI,Semester 8 Cum GPA,Semester 9 GPI,Semester 9 Cum GPA,Semester 10 GPI,Semester 10 Cum GPA,Semester 11 GPI,Semester 11 Cum GPA,Semester 12 GPI,Semester 12 Cum GPA
280,Kickball,"Fall, 2021",International,Baguette ,Female,UNDERGRAD,CAS,Bachelor of Arts,1704,Undergrad Senior,Freshman,4.0,,,3.67,3.67,3.93,3.81,4.0,3.88,3.93,3.89,3.5,3.81,3.93,3.83,,,,,,,,,,,,
295,Curling,"Fall, 2023",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Freshman,Freshman,3.5,,,3.5,3.5,4.0,3.8,,,,,,,,,,,,,,,,,,,,
306,Curling,"Fall, 2021",International,Wheat,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Senior,Freshman,3.5,,,3.93,3.93,3.94,3.93,3.48,3.77,3.34,3.66,3.5,3.63,3.48,3.61,,,,,,,,,,,,
309,Pickeball,"Fall, 2023",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,466,Undergrad Freshman,Freshman,4.0,,,3.1,3.32,3.33,3.33,,,,,,,,,,,,,,,,,,,,
312,Curling,"Spring, 2024",International,Ciabatta ,Male,UNDERGRAD,SHA,Bachelor of Science,518,Undergrad Sophomore,,,,,3.25,3.25,,,,,,,,,,,,,,,,,,,,,,
316,Frisbee,"Fall, 2022",International,Wheat,Male,UNDERGRAD,ENG,Bachelor of Science,905,Undergrad Sophomore,Freshman,3.9,,,3.93,3.93,3.69,3.81,3.67,3.77,3.67,3.75,,,,,,,,,,,,,,,,
320,Handball,"Fall, 2023",International,Pita,Female,UNDERGRAD,CAS,Bachelor of Arts,1522,Undergrad Freshman,Freshman,3.6,,,3.85,3.85,3.1,3.48,,,,,,,,,,,,,,,,,,,,
344,Fencing,"Fall, 2021",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,317,Undergrad Junior,Freshman,4.1,,1430.0,3.68,3.68,3.93,3.8,3.58,3.73,3.75,3.73,4.0,3.79,3.77,3.78,,,,,,,,,,,,
348,Water Polo,"Fall, 2023",International,Sourdough,Male,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Freshman,Freshman,3.9,,,4.0,4.0,3.79,3.91,,,,,,,,,,,,,,,,,,,,
353,Roller Derby,"Fall, 2022",International,Sourdough,Male,UNDERGRAD,COM,Bachelor of Science,614,Undergrad Sophomore,Freshman,3.6,,,3.15,3.15,3.25,3.2,2.43,3.02,3.16,3.05,,,,,,,,,,,,,,,,
